Title,ContactType,MonthNumber,Count
Waste Services Sacks Order,Telephone,5,5
Change of Address - Moving Out,Personal Visit,6,2
Change of Address - Moving Out,Telephone,6,18
Change of Address - Moving Within,Personal Visit,6,2
Change of Address - Moving Within,Telephone,6,24
Commercial Pest Control - First Appointment,Letter,6,1
Commercial Pest Control - First Appointment,Personal Visit,6,2
Commercial Pest Control - First Appointment,Telephone,6,33
"Complaints, Compliments, Suggestions",Email,6,80
"Complaints, Compliments, Suggestions",Internet,6,3
"Complaints, Compliments, Suggestions",Letter,6,3
"Complaints, Compliments, Suggestions",Personal Visit,6,2
"Complaints, Compliments, Suggestions",Telephone,6,82
Domestic Pest Control - First Appointment,Email,6,1
Domestic Pest Control - First Appointment,Internet,6,1
Domestic Pest Control - First Appointment,Personal Visit,6,2
Domestic Pest Control - First Appointment,Telephone,6,150
Highways Drainage and Flooding,Email,6,38
Highways Drainage and Flooding,Internet,6,2
Highways Drainage and Flooding,Personal Visit,6,2
Highways Drainage and Flooding,Telephone,6,56
Highways Drainage and Flooding,Twitter,6,4
Highways Engineering Design Group,Personal Visit,6,1
Highways Engineering Design Group,Telephone,6,1
Highways Gritting,Email,6,4
Highways Gritting,Fax,6,1
Highways Gritting,Internet,6,1
Highways Gritting,Telephone,6,1
Highways Hazard or Obstruction,Email,6,5
Highways Hazard or Obstruction,Personal Visit,6,1
Highways Hazard or Obstruction,Telephone,6,33
Highways Licences,Email,6,1
Highways Licences,Internet,6,3
Highways Licences,Telephone,6,7
Highways Maintenance of Roads and Pavements,Email,6,62
Highways Maintenance of Roads and Pavements,Internet,6,4
Highways Maintenance of Roads and Pavements,Personal Visit,6,28
Highways Maintenance of Roads and Pavements,Telephone,6,130
Highways Maintenance of Roads and Pavements,Twitter,6,3
Highways Potholes,Email,6,48
Highways Potholes,Internet,6,1
Highways Potholes,Personal Visit,6,4
Highways Potholes,Telephone,6,59
Highways Potholes,Twitter,6,1
Highways Roadworks and Schemes,Email,6,10
Highways Roadworks and Schemes,Personal Visit,6,4
Highways Roadworks and Schemes,Telephone,6,22
Highways Street Lighting,Email,6,22
Highways Street Lighting,Internet,6,3
Highways Street Lighting,Personal Visit,6,1
Highways Street Lighting,Telephone,6,43
Highways Traffic Signals,Email,6,5
Highways Traffic Signals,Internet,6,2
Highways Traffic Signals,Letter,6,1
Highways Traffic Signals,Telephone,6,10
Highways Vegetation,Email,6,112
Highways Vegetation,Internet,6,1
Highways Vegetation,Personal Visit,6,22
Highways Vegetation,Telephone,6,148
Highways Vegetation,Twitter,6,3
Library Services,Email,6,16
Library Services,Telephone,6,37
Neighbourhoods Cleansing,Email,6,154
Neighbourhoods Cleansing,Internet,6,1
Neighbourhoods Cleansing,Personal Visit,6,20
Neighbourhoods Cleansing,Telephone,6,413
Neighbourhoods Cleansing,Twitter,6,13
Neighbourhoods Cleansing Enforcement,Email,6,61
Neighbourhoods Cleansing Enforcement,Fax,6,1
Neighbourhoods Cleansing Enforcement,Internet,6,5
Neighbourhoods Cleansing Enforcement,Personal Visit,6,12
Neighbourhoods Cleansing Enforcement,Telephone,6,96
Neighbourhoods Cleansing Enforcement,Twitter,6,4
Neighbourhoods Parks and Grounds,Email,6,52
Neighbourhoods Parks and Grounds,Internet,6,1
Neighbourhoods Parks and Grounds,Personal Visit,6,14
Neighbourhoods Parks and Grounds,Telephone,6,121
Neighbourhoods Parks and Grounds,Twitter,6,5
Public Transport,Email,6,7
Public Transport,Internet,6,3
Public Transport,Personal Visit,6,7
Public Transport,Telephone,6,18
Public Transport,Twitter,6,1
Traffic and Safety,Email,6,33
Traffic and Safety,Personal Visit,6,11
Traffic and Safety,Telephone,6,46
Traffic and Safety,Twitter,6,3
Waste Services Clinical Waste,Email,6,19
Waste Services Clinical Waste,Personal Visit,6,6
Waste Services Clinical Waste,Telephone,6,204
Waste Services Container Request,Email,6,341
Waste Services Container Request,Internet,6,4
Waste Services Container Request,Personal Visit,6,101
Waste Services Container Request,Telephone,6,680
Waste Services Container Request,Twitter,6,1
Waste Services Garden Waste Start Up,Email,6,17
Waste Services Garden Waste Start Up,Personal Visit,6,206
Waste Services Garden Waste Start Up,Telephone,6,819
Waste Services General Enquiry,Email,6,56
Waste Services General Enquiry,Personal Visit,6,39
Waste Services General Enquiry,Telephone,6,352
Waste Services General Enquiry,Twitter,6,1
Waste Services Sacks Order,Telephone,6,2
Change of Address - Moving Out,Personal Visit,7,8
Change of Address - Moving Out,Telephone,7,23
Change of Address - Moving Within,Personal Visit,7,5
Change of Address - Moving Within,Telephone,7,36
Commercial Pest Control - First Appointment,Telephone,7,27
"Complaints, Compliments, Suggestions",Email,7,163
"Complaints, Compliments, Suggestions",Internet,7,3
"Complaints, Compliments, Suggestions",Letter,7,12
"Complaints, Compliments, Suggestions",Personal Visit,7,2
"Complaints, Compliments, Suggestions",Telephone,7,112
"Complaints, Compliments, Suggestions",Twitter,7,1
Council Connect  Agent Reports,Email,7,1
Council Connect  Agent Reports,Internet,7,1
Council Connect  Agent Reports,Letter,7,1
Domestic Pest Control - First Appointment,Email,7,1
Domestic Pest Control - First Appointment,Personal Visit,7,1
Domestic Pest Control - First Appointment,Telephone,7,187
Highways Drainage and Flooding,Email,7,40
Highways Drainage and Flooding,Internet,7,6
Highways Drainage and Flooding,Personal Visit,7,5
Highways Drainage and Flooding,Telephone,7,65
Highways Engineering Design Group,Email,7,2
Highways Engineering Design Group,Internet,7,2
Highways Gritting,Email,7,1
Highways Hazard or Obstruction,Email,7,10
Highways Hazard or Obstruction,Personal Visit,7,1
Highways Hazard or Obstruction,Telephone,7,29
Highways Licences,Email,7,3
Highways Licences,Telephone,7,7
Highways Maintenance of Roads and Pavements,Email,7,95
Highways Maintenance of Roads and Pavements,Personal Visit,7,32
Highways Maintenance of Roads and Pavements,Telephone,7,97
Highways Maintenance of Roads and Pavements,Twitter,7,8
Highways Potholes,Email,7,72
Highways Potholes,Personal Visit,7,6
Highways Potholes,Telephone,7,39
Highways Roadworks and Schemes,Email,7,17
Highways Roadworks and Schemes,Personal Visit,7,1
Highways Roadworks and Schemes,Telephone,7,43
Highways Roadworks and Schemes,Twitter,7,1
Highways Street Lighting,Email,7,33
Highways Street Lighting,Internet,7,1
Highways Street Lighting,Personal Visit,7,8
Highways Street Lighting,Telephone,7,50
Highways Traffic Signals,Email,7,4
Highways Traffic Signals,Personal Visit,7,1
Highways Traffic Signals,Telephone,7,13
Highways Vegetation,Email,7,142
Highways Vegetation,Internet,7,1
Highways Vegetation,Personal Visit,7,35
Highways Vegetation,Telephone,7,149
Highways Vegetation,Twitter,7,3
Library Services,Email,7,21
Library Services,Telephone,7,42
Neighbourhoods Cleansing,Email,7,226
Neighbourhoods Cleansing,Internet,7,6
Neighbourhoods Cleansing,Personal Visit,7,29
Neighbourhoods Cleansing,Telephone,7,459
Neighbourhoods Cleansing,Twitter,7,9
Neighbourhoods Cleansing Enforcement,Email,7,114
Neighbourhoods Cleansing Enforcement,Internet,7,2
Neighbourhoods Cleansing Enforcement,Personal Visit,7,6
Neighbourhoods Cleansing Enforcement,Telephone,7,126
Neighbourhoods Cleansing Enforcement,Twitter,7,4
Neighbourhoods Parks and Grounds,Email,7,47
Neighbourhoods Parks and Grounds,Internet,7,2
Neighbourhoods Parks and Grounds,Personal Visit,7,8
Neighbourhoods Parks and Grounds,Telephone,7,73
Neighbourhoods Parks and Grounds,Twitter,7,5
Public Transport,Email,7,15
Public Transport,Telephone,7,24
Public Transport,Twitter,7,1
Traffic and Safety,Email,7,53
Traffic and Safety,Personal Visit,7,3
Traffic and Safety,Telephone,7,40
Traffic and Safety,Twitter,7,1
Waste Services Clinical Waste,Email,7,16
Waste Services Clinical Waste,Internet,7,1
Waste Services Clinical Waste,Personal Visit,7,5
Waste Services Clinical Waste,Telephone,7,204
Waste Services Container Request,Email,7,630
Waste Services Container Request,Internet,7,5
Waste Services Container Request,Personal Visit,7,97
Waste Services Container Request,Telephone,7,699
Waste Services Container Request,Twitter,7,1
Waste Services Garden Waste Start Up,Email,7,3
Waste Services Garden Waste Start Up,Personal Visit,7,69
Waste Services Garden Waste Start Up,Telephone,7,385
Waste Services General Enquiry,Email,7,54
Waste Services General Enquiry,Personal Visit,7,12
Waste Services General Enquiry,Telephone,7,221
Waste Services General Enquiry,Twitter,7,1
Waste Services Sacks Order,Letter,7,1
Waste Services Sacks Order,Personal Visit,7,2
Waste Services Sacks Order,Telephone,7,2
CCTV,Email,8,3
CCTV,Internet,8,5
CCTV,Personal Visit,8,4
CCTV,Telephone,8,2
Change of Address - Moving Out,Personal Visit,8,3
Change of Address - Moving Out,Telephone,8,8
Change of Address - Moving Within,Personal Visit,8,4
Change of Address - Moving Within,Telephone,8,31
Commercial Pest Control - First Appointment,Email,8,1
Commercial Pest Control - First Appointment,Internet,8,1
Commercial Pest Control - First Appointment,Personal Visit,8,6
Commercial Pest Control - First Appointment,Telephone,8,25
"Complaints, Compliments, Suggestions",Email,8,116
"Complaints, Compliments, Suggestions",Internet,8,3
"Complaints, Compliments, Suggestions",Letter,8,8
"Complaints, Compliments, Suggestions",Personal Visit,8,6
"Complaints, Compliments, Suggestions",Telephone,8,93
Domestic Pest Control - First Appointment,Internet,8,1
Domestic Pest Control - First Appointment,Telephone,8,156
Highways Drainage and Flooding,Email,8,32
Highways Drainage and Flooding,Personal Visit,8,7
Highways Drainage and Flooding,Telephone,8,33
Highways Gritting,Email,8,1
Highways Hazard or Obstruction,Email,8,4
Highways Hazard or Obstruction,Personal Visit,8,2
Highways Hazard or Obstruction,Telephone,8,29
Highways Maintenance of Roads and Pavements,Email,8,78
Highways Maintenance of Roads and Pavements,Personal Visit,8,10
Highways Maintenance of Roads and Pavements,Telephone,8,103
Highways Maintenance of Roads and Pavements,Twitter,8,8
Highways Potholes,Email,8,39
Highways Potholes,Internet,8,1
Highways Potholes,Personal Visit,8,8
Highways Potholes,Telephone,8,22
Highways Potholes,Twitter,8,1
Highways Roadworks and Schemes,Email,8,16
Highways Roadworks and Schemes,Personal Visit,8,3
Highways Roadworks and Schemes,Telephone,8,39
Highways Roadworks and Schemes,Twitter,8,2
Highways Street Lighting,Email,8,38
Highways Street Lighting,Internet,8,2
Highways Street Lighting,Personal Visit,8,6
Highways Street Lighting,Telephone,8,72
Highways Street Lighting,Twitter,8,1
Highways Traffic Signals,Email,8,2
Highways Traffic Signals,Telephone,8,7
Highways Traffic Signals,Twitter,8,1
Highways Vegetation,Email,8,66
Highways Vegetation,Internet,8,1
Highways Vegetation,Personal Visit,8,15
Highways Vegetation,Telephone,8,91
Library Services,Email,8,12
Library Services,Telephone,8,51
Neighbourhoods Cleansing,Email,8,135
Neighbourhoods Cleansing,Internet,8,7
Neighbourhoods Cleansing,Personal Visit,8,21
Neighbourhoods Cleansing,Telephone,8,308
Neighbourhoods Cleansing,Twitter,8,2
Neighbourhoods Cleansing Enforcement,Email,8,90
Neighbourhoods Cleansing Enforcement,Internet,8,3
Neighbourhoods Cleansing Enforcement,Personal Visit,8,12
Neighbourhoods Cleansing Enforcement,Telephone,8,91
Neighbourhoods Cleansing Enforcement,Twitter,8,3
Neighbourhoods Parks and Grounds,Email,8,33
Neighbourhoods Parks and Grounds,Personal Visit,8,5
Neighbourhoods Parks and Grounds,Telephone,8,53
Neighbourhoods Parks and Grounds,Twitter,8,1
Public Transport,Email,8,9
Public Transport,Personal Visit,8,3
Public Transport,Telephone,8,22
Public Transport,Twitter,8,1
Traffic and Safety,Email,8,25
Traffic and Safety,Personal Visit,8,6
Traffic and Safety,Telephone,8,26
Traffic and Safety,Twitter,8,1
Waste Services Clinical Waste,Email,8,19
Waste Services Clinical Waste,Personal Visit,8,2
Waste Services Clinical Waste,Telephone,8,175
Waste Services Container Request,Email,8,492
Waste Services Container Request,Internet,8,4
Waste Services Container Request,Personal Visit,8,98
Waste Services Container Request,Telephone,8,609
Waste Services Garden Waste Start Up,Email,8,1
Waste Services Garden Waste Start Up,Internet,8,1
Waste Services Garden Waste Start Up,Personal Visit,8,27
Waste Services Garden Waste Start Up,Telephone,8,201
Waste Services General Enquiry,Email,8,27
Waste Services General Enquiry,Personal Visit,8,7
Waste Services General Enquiry,Telephone,8,168
Waste Services General Enquiry,Twitter,8,1
Waste Services Sacks Order,Telephone,8,2
Change of Address - Moving Out,Telephone,9,17
Change of Address - Moving Within,Telephone,9,22
Civica Test Pay,Personal Visit,9,1
Commercial Pest Control - First Appointment,Letter,9,1
Commercial Pest Control - First Appointment,Personal Visit,9,9
Commercial Pest Control - First Appointment,Telephone,9,31
"Complaints, Compliments, Suggestions",Email,9,91
"Complaints, Compliments, Suggestions",Internet,9,2
"Complaints, Compliments, Suggestions",Letter,9,5
"Complaints, Compliments, Suggestions",Personal Visit,9,7
Highways Vegetation,Internet,10,1
"Complaints, Compliments, Suggestions",Telephone,9,91
Domestic Pest Control - First Appointment,Email,9,2
Domestic Pest Control - First Appointment,Internet,9,2
Domestic Pest Control - First Appointment,Letter,9,2
Domestic Pest Control - First Appointment,Personal Visit,9,1
Domestic Pest Control - First Appointment,Telephone,9,188
Highways Drainage and Flooding,Email,9,36
Highways Drainage and Flooding,Personal Visit,9,16
Highways Drainage and Flooding,Telephone,9,52
Highways Engineering Design Group,Email,9,1
Highways Gritting,Email,9,2
Highways Gritting,Telephone,9,4
Highways Hazard or Obstruction,Email,9,6
Highways Hazard or Obstruction,Internet,9,1
Highways Hazard or Obstruction,Personal Visit,9,5
Highways Hazard or Obstruction,Telephone,9,25
Highways Hazard or Obstruction,Twitter,9,2
Highways Licences,Email,9,3
Highways Licences,Telephone,9,2
Highways Maintenance of Roads and Pavements,Email,9,92
Highways Maintenance of Roads and Pavements,Personal Visit,9,9
Highways Maintenance of Roads and Pavements,Telephone,9,140
Highways Maintenance of Roads and Pavements,Twitter,9,8
Highways Potholes,Email,9,38
Highways Potholes,Fax,9,1
Highways Potholes,Internet,9,2
Highways Potholes,Personal Visit,9,10
Highways Potholes,Telephone,9,46
Highways Roadworks and Schemes,Email,9,22
Highways Roadworks and Schemes,Internet,9,1
Highways Roadworks and Schemes,Personal Visit,9,1
Highways Roadworks and Schemes,Telephone,9,59
Highways Roadworks and Schemes,Twitter,9,1
Highways Street Lighting,Email,9,35
Highways Street Lighting,Internet,9,2
Highways Street Lighting,Personal Visit,9,10
Highways Street Lighting,Telephone,9,72
Highways Traffic Signals,Email,9,2
Highways Traffic Signals,Telephone,9,3
Highways Traffic Signals,Twitter,9,1
Highways Vegetation,Email,9,79
Highways Vegetation,Internet,9,1
Highways Vegetation,Personal Visit,9,21
Highways Vegetation,Telephone,9,88
Highways Vegetation,Twitter,9,2
Library Services,Email,9,16
Library Services,Internet,9,2
Library Services,Telephone,9,66
Neighbourhoods Cleansing,Email,9,186
Neighbourhoods Cleansing,Internet,9,2
Neighbourhoods Cleansing,Personal Visit,9,9
Neighbourhoods Cleansing,Telephone,9,364
Neighbourhoods Cleansing,Twitter,9,19
Neighbourhoods Cleansing Enforcement,Email,9,62
Neighbourhoods Cleansing Enforcement,Fax,9,1
Neighbourhoods Cleansing Enforcement,Internet,9,1
Neighbourhoods Cleansing Enforcement,Letter,9,1
Neighbourhoods Cleansing Enforcement,Personal Visit,9,6
Neighbourhoods Cleansing Enforcement,Telephone,9,104
Neighbourhoods Cleansing Enforcement,Twitter,9,2
Neighbourhoods Parks and Grounds,Email,9,30
Neighbourhoods Parks and Grounds,Internet,9,1
Neighbourhoods Parks and Grounds,Personal Visit,9,6
Neighbourhoods Parks and Grounds,Telephone,9,71
Neighbourhoods Parks and Grounds,Twitter,9,1
PayLink Live Test,Email,9,2
PayLink Live Test,Internet,9,2
PayLink Live Test,Personal Visit,9,1
Public Transport,Email,9,11
Public Transport,Personal Visit,9,1
Public Transport,Telephone,9,19
Public Transport,Twitter,9,2
Traffic and Safety,Email,9,38
Traffic and Safety,Personal Visit,9,6
Traffic and Safety,Telephone,9,47
Traffic and Safety,Twitter,9,1
Waste Services Clinical Waste,Email,9,17
Waste Services Clinical Waste,Personal Visit,9,3
Waste Services Clinical Waste,Telephone,9,232
Waste Services Container Request,Email,9,734
Waste Services Container Request,Internet,9,2
Waste Services Container Request,Letter,9,1
Waste Services Container Request,Personal Visit,9,120
Waste Services Container Request,Telephone,9,679
Waste Services Container Request,Twitter,9,1
Waste Services Garden Waste Start Up,Letter,9,2
Waste Services Garden Waste Start Up,Personal Visit,9,29
Waste Services Garden Waste Start Up,Telephone,9,78
Waste Services General Enquiry,Email,9,43
Waste Services General Enquiry,Personal Visit,9,5
Waste Services General Enquiry,Telephone,9,136
Waste Services Sacks Order,Email,9,1
Waste Services Sacks Order,Telephone,9,7
Change of Address - Moving Out,Personal Visit,10,2
Change of Address - Moving Out,Telephone,10,9
Change of Address - Moving Within,Telephone,10,7
Commercial Pest Control - First Appointment,Email,10,1
Commercial Pest Control - First Appointment,Personal Visit,10,7
Commercial Pest Control - First Appointment,Telephone,10,27
"Complaints, Compliments, Suggestions",Email,10,99
"Complaints, Compliments, Suggestions",Internet,10,5
"Complaints, Compliments, Suggestions",Letter,10,5
"Complaints, Compliments, Suggestions",Personal Visit,10,6
"Complaints, Compliments, Suggestions",Telephone,10,92
"Complaints, Compliments, Suggestions",Twitter,10,1
Domestic Pest Control - First Appointment,Email,10,1
Domestic Pest Control - First Appointment,Telephone,10,146
Highways Drainage and Flooding,Email,10,45
Highways Drainage and Flooding,Internet,10,4
Highways Drainage and Flooding,Personal Visit,10,2
Highways Drainage and Flooding,Telephone,10,66
Highways Drainage and Flooding,Twitter,10,2
Highways Engineering Design Group,Email,10,2
Highways Gritting,Email,10,3
Highways Gritting,Telephone,10,1
Highways Hazard or Obstruction,Email,10,9
Highways Hazard or Obstruction,Personal Visit,10,5
Highways Hazard or Obstruction,Telephone,10,40
Highways Hazard or Obstruction,Twitter,10,3
Highways Licences,Email,10,1
Highways Licences,Telephone,10,4
Highways Maintenance of Roads and Pavements,Email,10,79
Highways Maintenance of Roads and Pavements,Internet,10,4
Highways Maintenance of Roads and Pavements,Personal Visit,10,29
Highways Maintenance of Roads and Pavements,Telephone,10,113
Highways Maintenance of Roads and Pavements,Twitter,10,5
Highways Potholes,Email,10,32
Highways Potholes,Fax,10,1
Highways Potholes,Letter,10,1
Highways Potholes,Personal Visit,10,3
Highways Potholes,Telephone,10,23
Highways Potholes,Twitter,10,1
Highways Roadworks and Schemes,Email,10,16
Highways Roadworks and Schemes,Personal Visit,10,1
Highways Roadworks and Schemes,Telephone,10,28
Highways Roadworks and Schemes,Twitter,10,1
Highways Street Lighting,Email,10,42
Highways Street Lighting,Personal Visit,10,9
Highways Street Lighting,Telephone,10,74
Highways Street Lighting,Twitter,10,1
Highways Traffic Signals,Email,10,4
Highways Traffic Signals,Personal Visit,10,1
Highways Traffic Signals,Telephone,10,9
Highways Traffic Signals,Twitter,10,1
Highways Vegetation,Email,10,52
Highways Vegetation,Personal Visit,10,13
Highways Vegetation,Telephone,10,54
Library Services,Email,10,14
Library Services,Telephone,10,34
Neighbourhoods Cleansing,Email,10,140
Neighbourhoods Cleansing,Internet,10,1
Neighbourhoods Cleansing,Personal Visit,10,11
Neighbourhoods Cleansing,Telephone,10,277
Neighbourhoods Cleansing,Twitter,10,10
Neighbourhoods Cleansing Enforcement,Email,10,54
Neighbourhoods Cleansing Enforcement,Internet,10,2
Neighbourhoods Cleansing Enforcement,Personal Visit,10,15
Neighbourhoods Cleansing Enforcement,Telephone,10,67
Neighbourhoods Parks and Grounds,Email,10,34
Neighbourhoods Parks and Grounds,Personal Visit,10,11
Neighbourhoods Parks and Grounds,Telephone,10,74
Neighbourhoods Parks and Grounds,Twitter,10,3
Planning Enforcement,Email,10,2
Planning Enforcement,Internet,10,1
Planning Enforcement,Personal Visit,10,2
Planning Enforcement,Telephone,10,7
Public Transport,Email,10,12
Public Transport,Personal Visit,10,3
Public Transport,Telephone,10,12
Public Transport,Twitter,10,2
Traffic and Safety,Email,10,38
Traffic and Safety,Letter,10,1
Traffic and Safety,Personal Visit,10,2
Traffic and Safety,Telephone,10,28
Waste Services Clinical Waste,Email,10,6
Waste Services Clinical Waste,Personal Visit,10,2
Waste Services Clinical Waste,Telephone,10,211
Waste Services Container Request,Email,10,670
Waste Services Container Request,Internet,10,8
Waste Services Container Request,Personal Visit,10,87
Waste Services Container Request,Telephone,10,668
Waste Services Container Request,Twitter,10,1
Waste Services Garden Waste Start Up,Personal Visit,10,14
Waste Services Garden Waste Start Up,Telephone,10,150
Waste Services General Enquiry,Email,10,55
Waste Services General Enquiry,Personal Visit,10,6
Waste Services General Enquiry,Telephone,10,128
Waste Services General Enquiry,Twitter,10,1
Waste Services Sacks Order,Telephone,10,3
"Complaints, Compliments, Suggestions",Personal Visit,11,1
