ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,LocationText,LocalityAddress,Postcode,GeoAreaWardURI,GeoAreaWardLabel,UPRN,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,Category,AccessibleCategory,BabyChange,SecureDisposalofSharps,OpeningHours,ManagingBy,ChargeAmount,Notes,Location 1,Location 2
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,ODD DOWN PARK & RIDE,BATHAVON WEST,BA2 8PA,http://statistics.data.gov.uk/id/statistical-geography/E05001957,Odd Down,10001147056,OSGB36,373285,161464,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,TRUE,15 minutes before and after Park & Ride opening hours ,BANES COUNCIL AND HEALTHMATIC,0.2,,ODD DOWN PARK & RIDE CAR PARK,"BATH
(51.377947, -2.359069)"
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,SHAFTESBURY ROAD,OLDFIELD ,BA2 3LH,http://statistics.data.gov.uk/id/statistical-geography/E05001958,Oldfield,10001147060,OSGB36,373809,164268,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,TRUE,24 Hours ,BANES COUNCIL AND HEALTHMATIC,0.2,,SHAFTESBURY ROAD,"BATH
(51.377947, -2.359069)"
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,SPORT CENTRE CAR PARK|GULLOCK TYNING,MIDSOMER NORTON NORTH,BA3 2UG,http://statistics.data.gov.uk/id/statistical-geography/E05001954,Midsomer Norton North,10001146790,OSGB36,366711,154310,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,FALSE,Female and male,Mo-Sa 08:00-18:00 | Su 10:00-16:00,BANES COUNCIL AND HEALTHMATIC,0,,GULLOCK TYNING,"MIDSOMER NORTON
(51.285669, -2.485907)"
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,SYDNEY GARDENS,BATHWICK,BA2 6NF,http://statistics.data.gov.uk/id/statistical-geography/E05001935,Abbey,10001143296,OSGB36,375695,165311,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,FALSE,Male,Mo-Sa 08:00-18:00 | Su 10:00-16:00,BANES COUNCIL AND HEALTHMATIC,0,Scheduled for improvement Autumn 2014,SYDNEY PLACE,"BATH
(51.377947, -2.359069)"
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,SEVEN DIALS,KINGSMEAD,BA1 2AN,http://statistics.data.gov.uk/id/statistical-geography/E05001949,Kingsmead,10001147002,OSGB36,374816,164820,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,TRUE,24 Hours ,BANES COUNCIL AND HEALTHMATIC,0.2,,MONMOUTH STREET,"BATH
(51.377947, -2.359069)"
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,SANDPITS PLAY AREA/TWO TUNNELS PATH,OLDFIELD ,BA2 2JD,http://statistics.data.gov.uk/id/statistical-geography/E05001958,Oldfield,10001147064,OSGB36,373563,163709,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,TRUE,06:00-21:00,BANES COUNCIL AND HEALTHMATIC,0.2,,MONKSDALE ROAD,"BATH
(51.377947, -2.359069)"
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,ROYAL VICTORIA PARK PLAY AREA ,KINGSMEAD,BA1 2LZ,http://statistics.data.gov.uk/id/statistical-geography/E05001949,Kingsmead,10001145947,OSGB36,373891,165288,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,Male,Not Known,BANES COUNCIL AND HEALTHMATIC,0,Scheduled for improvement Autumn 2014,ROYAL VICTORIA PARK PLAY AREA,"BATH
(51.377947, -2.359069)"
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,THE SHALLOWS ,SALTFORD,BS31 3EU,http://statistics.data.gov.uk/id/statistical-geography/E05001963,Saltford,10001144785,OSGB36,368697,167272,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,FALSE,FALSE,Mo-Sa 08:00-18:00 | Su 10:00-16:00,BANES COUNCIL AND HEALTHMATIC,0,Scheduled for improvement Autumn 2014,THE SHALLOWS,"SALTFORD
(51.40139, -2.459436)"
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,HENRIETTA PARK,ABBEY,BA2 6LU,http://statistics.data.gov.uk/id/statistical-geography/E05001935,Abbey,10001147120,OSGB36,375338,165170,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,FALSE,Female and male,Winter & Su 10:00-16:00 | Other times: 08:00-18:00,BANES COUNCIL AND HEALTHMATIC,0,Scheduled for improvement Autumn 2014,HENRIETTA ROAD,"BATH
(51.377947, -2.359069)"
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,ASHTON WAY CAR PARK,KEYNSHAM NORTH,BS31 2UF,http://statistics.data.gov.uk/id/statistical-geography/E05001947,Keynsham North,10001145204,OSGB36,365354,168603,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,Male,Mo-Sa 08:00-18:00 | Su 10:00-16:00,BANES COUNCIL AND HEALTHMATIC,0,,ASHTON WAY CAR PARK,"KEYNSHAM
(51.413867, -2.4978)"
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,CHARLOTTE STREET ENTRANCE,KINGSMEAD,BA1 2NE,http://statistics.data.gov.uk/id/statistical-geography/E05001949,Kingsmead,10001147066,OSGB36,374661,165006,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,TRUE,24 Hours ,BANES COUNCIL AND HEALTHMATIC,0.2,,CHARLOTTE STREET,"BATH
(51.377947, -2.359069)"
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,ALICE PARK,LAMBRIDGE,BA1 7BL,http://statistics.data.gov.uk/id/statistical-geography/E05001950,Lambridge,10001146447,OSGB36,376350,166593,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,TRUE,06:00-21:00,BANES COUNCIL AND HEALTHMATIC,0.2,,GLOUCESTER ROAD,"BATH
(51.377947, -2.359069)"
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,MEMORIAL PARK,KEYNSHAM EAST,BS31 1DG,http://statistics.data.gov.uk/id/statistical-geography/E05001947,Keynsham North,10023109490,OSGB36,365513,168636,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,TRUE,06:00-21:00,BANES COUNCIL AND HEALTHMATIC,0.2,From end September,KEYNSHAM MEMORIAL PARK,"KEYNSHAM
(51.413867, -2.4978)"
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,PARADE GARDENS,ABBEY,BA2 4DF,http://statistics.data.gov.uk/id/statistical-geography/E05001935,Abbey,10001150792,OSGB36,375227,164816,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,Female | male and disabled,Winter & Su 10:00-16:00 | Other times: 08:00-18:00,BANES COUNCIL AND HEALTHMATIC,,Scheduled for improvement Autumn 2014,GRAND PARADE,"BATH
(51.377947, -2.359069)"
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,RED LION CAR PARK,PAULTON,BS39 7NW,http://statistics.data.gov.uk/id/statistical-geography/E05001959,Paulton,10001147955,OSGB36,365109,156632,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,FALSE,FALSE,To be confirmed,PAULTON PARISH COUNCIL,0,,"CHURCH STREET
(41.063278, -111.96439)","BRISTOL
(51.455227, -2.596646)"
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,RIVERSIDE COACH PARK,KINGSMEAD,BA1 1UE,http://statistics.data.gov.uk/id/statistical-geography/E05001949,Kingsmead,10001146446,OSGB36,374812,164542,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,Female and male,06:00-19:45,BANES COUNCIL AND HEALTHMATIC,0,,RIVERSIDE COACH PARK,"BATH
(51.377947, -2.359069)"
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,ALEXANDRA PARK,WIDCOMBE,BA2 4RQ,http://statistics.data.gov.uk/id/statistical-geography/E05001952,Lyncombe,10001146448,OSGB36,374927,163920,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,FALSE,FALSE,Mo-Sa 08:00-18:00 | Su 10:00-16:00,BANES COUNCIL AND HEALTHMATIC,0,Scheduled for improvement Autumn 2014,"ALEXANDRA PARK
(-17.794169, 31.052218)","BATH
(51.377947, -2.359069)"
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,CHARLOTTE STREET CAR PARK,KINGSMEAD,BA1 2NA,http://statistics.data.gov.uk/id/statistical-geography/E05001949,Kingsmead,10001145205,OSGB36,374431,165156,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,FALSE,Mo-Sa 08:00-18:00 | Su 10:00-16:00,BANES COUNCIL AND HEALTHMATIC,0,Scheduled for improvement Autumn 2014,CHARLOTTE STREET CAR PARK,"BATH
(51.377947, -2.359069)"
